Unique_ID,topic,school,is_post
R_UNC_00254,1,UNC,False
R_UNC_00256,1,UNC,False
R_UNC_00252,1,UNC,False
R_UNC_00257,1,UNC,False
R_UNC_00258,1,UNC,False
R_UNC_00259,1,UNC,False
R_UNC_00261,1,UNC,False
R_UNC_00262,1,UNC,False
R_UNC_00264,4,UNC,True
R_UNC_00265,17,UNC,True
R_UNC_00266,17,UNC,False
R_UNC_00267,0,UNC,True
R_UNC_00277,0,UNC,False
R_UNC_00278,0,UNC,False
R_UNC_00271,0,UNC,False
R_UNC_00275,0,UNC,False
R_UNC_00270,0,UNC,False
R_UNC_00268,0,UNC,False
R_UNC_00273,0,UNC,False
R_UNC_00279,14,UNC,True
R_UNC_00281,14,UNC,False
R_UNC_00282,2,UNC,True
R_UNC_00290,2,UNC,False
R_UNC_00291,2,UNC,False
R_UNC_00289,2,UNC,False
R_UNC_00288,2,UNC,False
R_UNC_00287,2,UNC,False
R_UNC_00286,2,UNC,False
R_UNC_00284,2,UNC,False
R_UNC_00283,2,UNC,False
R_UNC_00285,4,UNC,True
R_UNC_00292,2,UNC,True
R_UNC_00294,2,UNC,False
R_UNC_00293,2,UNC,False
R_UNC_00295,7,UNC,True
R_UNC_00296,9,UNC,True
R_UNC_00298,9,UNC,False
R_UNC_00297,9,UNC,False
R_UNC_00299,9,UNC,False
R_UNC_00300,9,UNC,False
R_UNC_00306,12,UNC,True
R_UNC_00307,12,UNC,False
R_UNC_00308,22,UNC,True
R_UNC_00313,22,UNC,False
R_UNC_00309,22,UNC,False
R_UNC_00312,22,UNC,False
R_UNC_00311,22,UNC,True
R_UNC_00310,22,UNC,True
R_UNC_00314,24,UNC,True
R_UNC_00321,24,UNC,False
R_UNC_00317,24,UNC,False
R_UNC_00318,24,UNC,False
R_UNC_00315,24,UNC,False
R_UNC_00323,6,UNC,True
R_UNC_00333,6,UNC,False
R_UNC_00332,6,UNC,False
R_UNC_00330,6,UNC,False
R_UNC_00329,6,UNC,False
R_UNC_00327,6,UNC,True
R_UNC_00326,6,UNC,True
R_UNC_00334,5,UNC,True
R_UNC_00353,5,UNC,False
R_UNC_00352,5,UNC,False
R_UNC_00351,5,UNC,False
R_UNC_00349,5,UNC,False
R_UNC_00341,5,UNC,False
R_UNC_00340,5,UNC,False
R_UNC_00346,5,UNC,False
R_UNC_00348,5,UNC,False
R_UNC_00339,5,UNC,False
R_UNC_00347,5,UNC,False
R_UNC_00342,5,UNC,False
R_UNC_00343,5,UNC,False
R_UNC_00338,5,UNC,False
R_UNC_00337,5,UNC,False
R_UNC_00344,5,UNC,False
R_UNC_00345,5,UNC,False
R_UNC_00335,5,UNC,False
R_UNC_00350,5,UNC,False
R_UNC_00355,1,UNC,True
R_UNC_00354,1,UNC,False
R_UNC_00356,8,UNC,True
R_UNC_00357,7,UNC,True
R_UNC_00358,7,UNC,True
R_UNC_00370,7,UNC,False
R_UNC_00369,7,UNC,False
R_UNC_00368,7,UNC,False
R_UNC_00367,7,UNC,False
R_UNC_00364,7,UNC,False
R_UNC_00362,7,UNC,False
R_UNC_00365,7,UNC,False
R_UNC_00366,7,UNC,False
R_UNC_00360,7,UNC,False
R_UNC_00385,25,UNC,True
R_UNC_00379,25,UNC,False
R_UNC_00383,25,UNC,False
R_UNC_00382,25,UNC,False
R_UNC_00381,25,UNC,False
R_UNC_00380,25,UNC,False
R_UNC_00386,9,UNC,True
R_UNC_00405,9,UNC,False
R_UNC_00406,9,UNC,False
R_UNC_00403,9,UNC,False
R_UNC_00402,9,UNC,False
R_UNC_00400,9,UNC,False
R_UNC_00407,9,UNC,False
R_UNC_00395,9,UNC,False
R_UNC_00396,9,UNC,False
R_UNC_00401,9,UNC,False
R_UNC_00408,9,UNC,False
R_UNC_00393,9,UNC,False
R_UNC_00391,9,UNC,False
R_UNC_00389,9,UNC,False
R_UNC_00397,9,UNC,False
