filename_key,more boring
G_GT_1_0#0,5.210000038146973
G_GT_1_0#1,3.5299999713897705
G_GT_1_0#2,6.0
G_GT_1_0#3,3.890000104904175
G_GT_1_0#4,6.239999771118164
G_GT_1_0#5,6.920000076293945
G_GT_1_0#6,3.9100000858306885
G_GT_1_0#7,4.099999904632568
G_GT_1_0#8,4.400000095367432
G_GT_1_0#9,4.429999828338623
G_GT_1_0#10,8.3100004196167
G_GT_1_0#11,4.360000133514404
G_GT_1_0#12,6.489999771118164
G_GT_1_0#13,2.7100000381469727
G_GT_1_0#14,5.130000114440918
G_GT_1_0#15,5.150000095367432
G_GT_1_9#0,4.28000020980835
G_GT_1_9#1,4.0
G_GT_1_9#2,3.890000104904175
G_GT_1_9#3,6.78000020980835
G_GT_1_9#4,5.960000038146973
G_GT_1_9#5,4.269999980926514
G_GT_1_9#6,8.369999885559082
G_GT_1_9#7,3.549999952316284
G_GT_1_17#0,2.0399999618530273
G_GT_1_17#1,4.449999809265137
G_GT_1_17#2,6.730000019073486
G_GT_1_17#3,2.9800000190734863
G_GT_1_63#0,6.03000020980835
G_GT_1_69#0,4.239999771118164
G_GT_1_84#0,3.440000057220459
G_GT_1_87#0,1.9500000476837158
G_GT_1_87#1,6.019999980926514
G_GT_2_0#0,1.9700000286102295
G_GT_2_1#0,2.690000057220459
G_GT_2_1#1,1.6699999570846558
G_GT_2_1#2,4.409999847412109
G_GT_2_1#3,3.0899999141693115
G_GT_2_1#4,3.0799999237060547
G_GT_2_1#5,1.6100000143051147
G_GT_2_1#6,1.399999976158142
G_GT_2_1#7,3.359999895095825
G_GT_2_1#8,4.75
G_GT_2_1#9,2.809999942779541
G_GT_2_1#10,4.789999961853027
G_GT_2_1#11,1.7400000095367432
G_GT_2_1#12,1.8300000429153442
G_GT_2_1#13,0.8799999952316284
G_GT_2_1#14,5.170000076293945
G_GT_2_5#0,1.5299999713897705
G_GT_2_5#1,5.480000019073486
G_GT_2_5#2,4.139999866485596
G_GT_2_5#3,4.75
G_GT_2_5#4,3.9200000762939453
G_GT_2_5#5,4.380000114440918
G_GT_2_5#6,1.2799999713897705
G_GT_2_10#0,6.260000228881836
G_GT_2_13#0,6.260000228881836
G_GT_2_13#1,6.840000152587891
G_GT_2_26#0,1.3300000429153442
G_GT_2_26#1,1.0700000524520874
G_GT_3_2#0,3.2100000381469727
G_GT_3_5#0,7.78000020980835
G_GT_3_5#1,5.110000133514404
G_GT_3_5#2,5.960000038146973
G_GT_3_5#3,7.440000057220459
G_GT_3_5#4,4.25
G_GT_3_5#5,2.8499999046325684
G_GT_3_5#6,8.180000305175781
G_GT_3_5#7,5.929999828338623
G_GT_3_5#8,6.800000190734863
G_GT_4_12#0,9.319999694824219
G_GT_4_12#1,7.900000095367432
G_GT_4_12#2,7.389999866485596
G_GT_4_12#3,6.630000114440918
G_GT_4_12#4,2.4600000381469727
G_GT_4_12#5,8.710000038146973
G_GT_4_12#6,6.929999828338623
G_GT_4_12#7,3.119999885559082
G_GT_4_12#8,6.75
G_GT_4_12#9,8.470000267028809
G_GT_4_12#10,9.100000381469727
G_GT_4_12#11,8.1899995803833
G_GT_4_12#12,5.900000095367432
G_GT_4_12#13,9.0
G_GT_4_12#14,8.25
G_GT_4_12#15,8.899999618530273
G_GT_4_12#16,9.069999694824219
G_GT_4_12#17,8.829999923706055
G_GT_4_12#18,7.670000076293945
G_GT_4_12#19,8.130000114440918
G_GT_4_12#20,8.779999732971191
G_GT_4_12#21,8.899999618530273
G_GT_4_12#22,8.569999694824219
G_GT_4_12#23,8.930000305175781
G_GT_4_12#24,8.34000015258789
G_GT_4_12#25,8.420000076293945
G_GT_4_12#26,8.619999885559082
G_GT_4_12#27,8.84000015258789
G_GT_4_12#28,6.289999961853027
G_GT_4_12#29,8.880000114440918
G_GT_4_12#30,5.769999980926514
G_GT_4_12#31,8.050000190734863
G_GT_4_12#32,9.109999656677246
G_GT_4_12#33,5.630000114440918
G_GT_4_12#34,5.980000019073486
G_GT_4_12#35,4.639999866485596
G_GT_4_12#36,1.340000033378601
G_GT_4_12#37,4.110000133514404
G_GT_4_12#38,6.230000019073486
G_GT_4_12#39,3.009999990463257
G_GT_4_12#40,4.210000038146973
G_GT_4_12#41,6.190000057220459
G_GT_4_12#42,2.25
G_GT_4_12#43,4.460000038146973
G_GT_4_42#0,2.950000047683716
G_GT_4_42#1,3.109999895095825
G_GT_5_9#0,7.0
G_GT_5_9#1,6.710000038146973
G_GT_5_9#2,4.019999980926514
G_GT_5_9#3,4.21999979019165
G_GT_5_9#4,6.389999866485596
G_GT_5_11#0,7.269999980926514
G_GT_5_21#0,7.190000057220459
G_GT_5_21#1,7.53000020980835
G_GT_5_21#2,6.260000228881836
G_GT_5_21#3,5.670000076293945
G_GT_5_21#4,5.260000228881836
G_GT_5_21#5,3.5299999713897705
G_GT_5_21#6,5.760000228881836
G_GT_5_21#7,8.6899995803833
G_GT_5_21#8,6.429999828338623
G_GT_5_21#9,8.140000343322754
G_GT_5_21#10,6.820000171661377
G_GT_5_22#0,6.210000038146973
G_GT_5_22#1,8.59000015258789
G_GT_5_22#2,8.899999618530273
G_GT_5_22#3,1.840000033378601
G_GT_5_22#4,7.929999828338623
G_GT_5_22#5,4.230000019073486
G_GT_5_22#6,3.8399999141693115
G_GT_5_22#7,4.980000019073486
G_GT_5_22#8,2.9600000381469727
G_GT_5_22#9,7.320000171661377
G_GT_5_22#10,7.849999904632568
G_GT_5_22#11,4.889999866485596
G_GT_5_22#12,6.389999866485596
G_GT_5_22#13,6.5
G_GT_5_22#14,5.829999923706055
G_GT_5_22#15,3.059999942779541
G_GT_5_22#16,6.75
G_GT_5_22#17,4.610000133514404
G_GT_5_32#0,5.650000095367432
G_GT_5_59#0,2.549999952316284
G_GT_5_59#1,7.170000076293945
G_GT_5_125#0,6.619999885559082
G_GT_5_125#1,6.699999809265137
G_GT_5_125#2,4.360000133514404
G_GT_5_125#3,7.619999885559082
G_GT_5_125#4,2.7200000286102295
G_GT_5_162#0,3.9200000762939453
G_GT_5_162#1,4.349999904632568
G_GT_5_162#2,4.480000019073486
G_GT_5_162#3,4.800000190734863
G_GT_5_162#4,2.5
G_GT_5_188#0,2.0199999809265137
G_GT_6_85#0,0.6499999761581421
G_GT_6_91#0,3.4100000858306885
G_GT_6_283#0,7.559999942779541
G_GT_6_283#1,3.7300000190734863
G_GT_6_283#2,4.019999980926514
G_GT_6_283#3,6.239999771118164
G_GT_6_338#0,3.2699999809265137
G_GT_6_338#1,3.6700000762939453
G_GT_6_338#2,2.4000000953674316
G_GT_6_338#3,3.7100000381469727
G_GT_6_338#4,0.8600000143051147
G_GT_6_338#5,6.21999979019165
G_GT_6_349#0,3.1700000762939453
G_GT_6_349#1,2.930000066757202
G_GT_6_349#2,5.869999885559082
