filename_key,more beautiful
G_GT_1_0#0,1.7400000095367432
G_GT_1_0#1,1.7100000381469727
G_GT_1_0#2,4.460000038146973
G_GT_1_0#3,3.2699999809265137
G_GT_1_0#4,0.6299999952316284
G_GT_1_0#5,5.840000152587891
G_GT_1_0#6,1.9900000095367432
G_GT_1_0#7,5.099999904632568
G_GT_1_0#8,5.28000020980835
G_GT_1_0#9,2.6500000953674316
G_GT_1_0#10,7.800000190734863
G_GT_1_0#11,4.429999828338623
G_GT_1_0#12,4.28000020980835
G_GT_1_0#13,8.359999656677246
G_GT_1_0#14,4.880000114440918
G_GT_1_0#15,1.909999966621399
G_GT_1_9#0,2.7899999618530273
G_GT_1_9#1,6.539999961853027
G_GT_1_9#2,5.409999847412109
G_GT_1_9#3,3.9600000381469727
G_GT_1_9#4,5.420000076293945
G_GT_1_9#5,1.8200000524520874
G_GT_1_9#6,3.880000114440918
G_GT_1_9#7,1.7899999618530273
G_GT_1_17#0,1.3899999856948853
G_GT_1_17#1,7.239999771118164
G_GT_1_17#2,5.860000133514404
G_GT_1_17#3,2.2799999713897705
G_GT_1_63#0,7.860000133514404
G_GT_1_69#0,5.369999885559082
G_GT_1_84#0,5.429999828338623
G_GT_1_87#0,4.920000076293945
G_GT_1_87#1,4.019999980926514
G_GT_2_0#0,4.5
G_GT_2_1#0,8.619999885559082
G_GT_2_1#1,7.619999885559082
G_GT_2_1#2,3.0299999713897705
G_GT_2_1#3,8.59000015258789
G_GT_2_1#4,7.579999923706055
G_GT_2_1#5,6.920000076293945
G_GT_2_1#6,2.950000047683716
G_GT_2_1#7,5.0
G_GT_2_1#8,5.909999847412109
G_GT_2_1#9,7.619999885559082
G_GT_2_1#10,7.650000095367432
G_GT_2_1#11,7.659999847412109
G_GT_2_1#12,5.739999771118164
G_GT_2_1#13,7.070000171661377
G_GT_2_1#14,5.53000020980835
G_GT_2_5#0,4.980000019073486
G_GT_2_5#1,3.0199999809265137
G_GT_2_5#2,0.4699999988079071
G_GT_2_5#3,1.2400000095367432
G_GT_2_5#4,0.5
G_GT_2_5#5,1.840000033378601
G_GT_2_5#6,8.050000190734863
G_GT_2_10#0,0.3499999940395355
G_GT_2_13#0,2.7699999809265137
G_GT_2_13#1,0.6800000071525574
G_GT_2_26#0,9.130000114440918
G_GT_2_26#1,3.0399999618530273
G_GT_3_2#0,4.920000076293945
G_GT_3_5#0,3.630000114440918
G_GT_3_5#1,3.9100000858306885
G_GT_3_5#2,5.159999847412109
G_GT_3_5#3,2.319999933242798
G_GT_3_5#4,2.0399999618530273
G_GT_3_5#5,0.8199999928474426
G_GT_3_5#6,2.490000009536743
G_GT_3_5#7,2.0
G_GT_3_5#8,2.690000057220459
G_GT_4_12#0,4.260000228881836
G_GT_4_12#1,3.990000009536743
G_GT_4_12#2,1.590000033378601
G_GT_4_12#3,4.449999809265137
G_GT_4_12#4,4.699999809265137
G_GT_4_12#5,5.610000133514404
G_GT_4_12#6,0.8600000143051147
G_GT_4_12#7,8.270000457763672
G_GT_4_12#8,3.0
G_GT_4_12#9,4.0
G_GT_4_12#10,3.880000114440918
G_GT_4_12#11,2.9000000953674316
G_GT_4_12#12,2.3499999046325684
G_GT_4_12#13,2.549999952316284
G_GT_4_12#14,2.4000000953674316
G_GT_4_12#15,2.509999990463257
G_GT_4_12#16,3.4100000858306885
G_GT_4_12#17,3.049999952316284
G_GT_4_12#18,1.399999976158142
G_GT_4_12#19,2.200000047683716
G_GT_4_12#20,4.130000114440918
G_GT_4_12#21,3.869999885559082
G_GT_4_12#22,4.150000095367432
G_GT_4_12#23,4.300000190734863
G_GT_4_12#24,2.359999895095825
G_GT_4_12#25,1.3700000047683716
G_GT_4_12#26,3.559999942779541
G_GT_4_12#27,2.299999952316284
G_GT_4_12#28,3.630000114440918
G_GT_4_12#29,1.3200000524520874
G_GT_4_12#30,3.5399999618530273
G_GT_4_12#31,2.2200000286102295
G_GT_4_12#32,1.3200000524520874
G_GT_4_12#33,1.0199999809265137
G_GT_4_12#34,1.9500000476837158
G_GT_4_12#35,3.680000066757202
G_GT_4_12#36,2.7799999713897705
G_GT_4_12#37,4.099999904632568
G_GT_4_12#38,0.3499999940395355
G_GT_4_12#39,6.429999828338623
G_GT_4_12#40,6.820000171661377
G_GT_4_12#41,8.289999961853027
G_GT_4_12#42,5.659999847412109
G_GT_4_12#43,2.569999933242798
G_GT_4_42#0,5.5
G_GT_4_42#1,1.7599999904632568
G_GT_5_9#0,1.8200000524520874
G_GT_5_9#1,4.329999923706055
G_GT_5_9#2,3.7200000286102295
G_GT_5_9#3,1.2699999809265137
G_GT_5_9#4,2.7200000286102295
G_GT_5_11#0,8.220000267028809
G_GT_5_21#0,2.309999942779541
G_GT_5_21#1,3.200000047683716
G_GT_5_21#2,4.690000057220459
G_GT_5_21#3,2.5999999046325684
G_GT_5_21#4,1.7799999713897705
G_GT_5_21#5,5.170000076293945
G_GT_5_21#6,4.070000171661377
G_GT_5_21#7,4.630000114440918
G_GT_5_21#8,3.700000047683716
G_GT_5_21#9,5.349999904632568
G_GT_5_21#10,1.899999976158142
G_GT_5_22#0,8.539999961853027
G_GT_5_22#1,8.90999984741211
G_GT_5_22#2,2.4600000381469727
G_GT_5_22#3,5.179999828338623
G_GT_5_22#4,1.559999942779541
G_GT_5_22#5,6.320000171661377
