filename_key,livelier
G_GT_1_0#0,6.190000057220459
G_GT_1_0#1,5.039999961853027
G_GT_1_0#2,0.7200000286102295
G_GT_1_0#3,6.179999828338623
G_GT_1_0#4,8.09000015258789
G_GT_1_0#5,3.4000000953674316
G_GT_1_0#6,6.420000076293945
G_GT_1_0#7,2.200000047683716
G_GT_1_0#8,3.240000009536743
G_GT_1_0#9,5.260000228881836
G_GT_1_0#10,6.840000152587891
G_GT_1_0#11,4.679999828338623
G_GT_1_0#12,3.680000066757202
G_GT_1_0#13,5.800000190734863
G_GT_1_0#14,6.960000038146973
G_GT_1_0#15,1.590000033378601
G_GT_1_9#0,4.119999885559082
G_GT_1_9#1,5.650000095367432
G_GT_1_9#2,5.190000057220459
G_GT_1_9#3,7.980000019073486
G_GT_1_9#4,4.130000114440918
G_GT_1_9#5,3.390000104904175
G_GT_1_9#6,3.359999895095825
G_GT_1_9#7,4.039999961853027
G_GT_1_17#0,5.71999979019165
G_GT_1_17#1,8.449999809265137
G_GT_1_17#2,1.3300000429153442
G_GT_1_17#3,2.5799999237060547
G_GT_1_63#0,1.8200000524520874
G_GT_1_69#0,2.880000114440918
G_GT_1_84#0,4.78000020980835
G_GT_1_87#0,7.53000020980835
G_GT_1_87#1,3.9200000762939453
G_GT_2_0#0,3.130000114440918
G_GT_2_1#0,7.940000057220459
G_GT_2_1#1,7.119999885559082
G_GT_2_1#2,2.890000104904175
G_GT_2_1#3,1.9700000286102295
G_GT_2_1#4,2.7699999809265137
G_GT_2_1#5,5.53000020980835
G_GT_2_1#6,1.7200000286102295
G_GT_2_1#7,3.240000009536743
G_GT_2_1#8,4.900000095367432
G_GT_2_1#9,4.449999809265137
G_GT_2_1#10,3.009999990463257
G_GT_2_1#11,6.46999979019165
G_GT_2_1#12,4.519999980926514
G_GT_2_1#13,5.119999885559082
G_GT_2_1#14,2.9700000286102295
G_GT_2_5#0,2.799999952316284
G_GT_2_5#1,1.4700000286102295
G_GT_2_5#2,5.71999979019165
G_GT_2_5#3,2.140000104904175
G_GT_2_5#4,3.3399999141693115
G_GT_2_5#5,3.5399999618530273
G_GT_2_5#6,4.730000019073486
G_GT_2_10#0,5.110000133514404
G_GT_2_13#0,4.960000038146973
G_GT_2_13#1,1.559999942779541
G_GT_2_26#0,4.860000133514404
G_GT_2_26#1,0.7799999713897705
G_GT_3_2#0,2.1600000858306885
G_GT_3_5#0,3.9000000953674316
G_GT_3_5#1,6.670000076293945
G_GT_3_5#2,4.889999866485596
G_GT_3_5#3,1.850000023841858
G_GT_3_5#4,8.149999618530273
G_GT_3_5#5,7.559999942779541
G_GT_3_5#6,1.590000033378601
G_GT_3_5#7,3.990000009536743
G_GT_3_5#8,6.059999942779541
G_GT_4_12#0,1.059999942779541
G_GT_4_12#1,1.899999976158142
G_GT_4_12#2,0.36000001430511475
G_GT_4_12#3,4.5
G_GT_4_12#4,3.059999942779541
G_GT_4_12#5,1.7799999713897705
G_GT_4_12#6,6.019999980926514
G_GT_4_12#7,5.730000019073486
G_GT_4_12#8,3.4200000762939453
G_GT_4_12#9,1.2899999618530273
G_GT_4_12#10,2.450000047683716
G_GT_4_12#11,2.2699999809265137
G_GT_4_12#12,0.75
G_GT_4_12#13,1.399999976158142
G_GT_4_12#14,1.659999966621399
G_GT_4_12#15,2.369999885559082
G_GT_4_12#16,2.630000114440918
G_GT_4_12#17,2.6700000762939453
G_GT_4_12#18,1.409999966621399
G_GT_4_12#19,0.8399999737739563
