filename_key,wealthier
G_GT_1_0#0,4.599999904632568
G_GT_1_0#1,6.179999828338623
G_GT_1_0#2,6.289999961853027
G_GT_1_0#3,8.369999885559082
G_GT_1_0#4,3.75
G_GT_1_0#5,7.099999904632568
G_GT_1_0#6,3.8399999141693115
G_GT_1_0#7,3.440000057220459
G_GT_1_0#8,7.0
G_GT_1_0#9,6.590000152587891
G_GT_1_0#10,6.650000095367432
G_GT_1_0#11,8.300000190734863
G_GT_1_0#12,4.730000019073486
G_GT_1_0#13,3.5999999046325684
G_GT_1_0#14,5.820000171661377
G_GT_1_0#15,6.380000114440918
G_GT_1_9#0,6.800000190734863
G_GT_1_9#1,9.010000228881836
G_GT_1_9#2,7.179999828338623
G_GT_1_9#3,9.300000190734863
G_GT_1_9#4,7.260000228881836
G_GT_1_9#5,6.139999866485596
G_GT_1_9#6,6.039999961853027
G_GT_1_9#7,2.809999942779541
G_GT_1_17#0,5.480000019073486
G_GT_1_17#1,7.090000152587891
G_GT_1_17#2,6.059999942779541
G_GT_1_17#3,5.050000190734863
G_GT_1_63#0,6.579999923706055
G_GT_1_69#0,6.139999866485596
G_GT_1_84#0,7.860000133514404
G_GT_1_87#0,7.889999866485596
G_GT_1_87#1,1.9199999570846558
G_GT_2_0#0,5.980000019073486
G_GT_2_1#0,7.920000076293945
G_GT_2_1#1,4.400000095367432
G_GT_2_1#2,8.640000343322754
G_GT_2_1#3,7.739999771118164
G_GT_2_1#4,7.820000171661377
G_GT_2_1#5,7.820000171661377
G_GT_2_1#6,5.920000076293945
G_GT_2_1#7,5.789999961853027
G_GT_2_1#8,2.700000047683716
G_GT_2_1#9,2.8299999237060547
G_GT_2_1#10,6.139999866485596
G_GT_2_1#11,4.420000076293945
G_GT_2_1#12,6.760000228881836
G_GT_2_1#13,8.539999961853027
G_GT_2_1#14,1.159999966621399
G_GT_2_5#0,4.400000095367432
G_GT_2_5#1,7.409999847412109
G_GT_2_5#2,8.760000228881836
G_GT_2_5#3,6.710000038146973
G_GT_2_5#4,5.849999904632568
G_GT_2_5#5,4.829999923706055
G_GT_2_5#6,4.880000114440918
G_GT_2_10#0,7.800000190734863
G_GT_2_13#0,3.8299999237060547
G_GT_2_13#1,2.0299999713897705
G_GT_2_26#0,0.8600000143051147
G_GT_2_26#1,1.100000023841858
G_GT_3_2#0,5.230000019073486
G_GT_3_5#0,8.449999809265137
G_GT_3_5#1,5.519999980926514
G_GT_3_5#2,5.019999980926514
G_GT_3_5#3,7.940000057220459
G_GT_3_5#4,6.940000057220459
G_GT_3_5#5,4.730000019073486
G_GT_3_5#6,6.800000190734863
G_GT_3_5#7,5.239999771118164
G_GT_3_5#8,9.5
G_GT_4_12#0,4.119999885559082
G_GT_4_12#1,7.659999847412109
G_GT_4_12#2,6.659999847412109
G_GT_4_12#3,2.859999895095825
G_GT_4_12#4,4.670000076293945
G_GT_4_12#5,2.7699999809265137
G_GT_4_12#6,6.239999771118164
G_GT_4_12#7,5.21999979019165
G_GT_4_12#8,6.539999961853027
G_GT_4_12#9,2.3299999237060547
G_GT_4_12#10,3.4600000381469727
G_GT_4_12#11,2.190000057220459
G_GT_4_12#12,4.929999828338623
G_GT_4_12#13,2.0
G_GT_4_12#14,4.090000152587891
G_GT_4_12#15,3.2200000286102295
G_GT_4_12#16,3.5
G_GT_4_12#17,3.0399999618530273
G_GT_4_12#18,3.1700000762939453
G_GT_4_12#19,3.299999952316284
G_GT_4_12#20,3.259999990463257
G_GT_4_12#21,2.450000047683716
G_GT_4_12#22,3.200000047683716
G_GT_4_12#23,2.640000104904175
