school,emotion,share_prob_gt_0.3,in_unified_set
UNC,curiosity,0.177478515105874,True
UNC,neutral,0.4969079471958891,False
UNC,confusion,0.08262602994595553,True
UNC,optimism,0.044546823779569415,True
UNC,surprise,0.007424470629928236,False
UNC,desire,0.013838929742181271,False
UNC,excitement,0.0060777886063613,False
UNC,approval,0.1390094799326659,True
UNC,admiration,0.07337645078408789,True
UNC,love,0.021511473376450783,False
UNC,caring,0.03811464516700629,True
UNC,annoyance,0.024665544431647028,True
UNC,amusement,0.04008150970142642,True
UNC,realization,0.007778860636130061,False
UNC,disapproval,0.04188889873305573,True
UNC,disappointment,0.02454150792947639,True
UNC,fear,0.005563923097368654,False
UNC,joy,0.021901302383272793,False
UNC,anger,0.005794276601399841,False
UNC,sadness,0.010613980685744663,False
UNC,nervousness,0.003543900062018251,False
UNC,remorse,0.011588553202799681,False
UNC,gratitude,0.07770000885975016,True
UNC,disgust,0.0026756445468237794,False
UNC,embarrassment,0.0009391335164348365,False
UNC,grief,0.0,False
UNC,relief,1.7719500310091256e-05,False
UNC,pride,0.0001949145034110038,False
GATECH,optimism,0.03470758003977689,True
GATECH,admiration,0.06343367278273743,True
GATECH,desire,0.013862096810371899,False
GATECH,gratitude,0.04993046521017451,True
GATECH,approval,0.11951011619039074,True
GATECH,curiosity,0.1361685583120243,True
GATECH,caring,0.026453127570170324,True
GATECH,neutral,0.5419676102462877,False
GATECH,excitement,0.007850702077071463,False
GATECH,confusion,0.07423025735349094,True
GATECH,love,0.015940663646015582,False
GATECH,joy,0.0219819658158001,False
GATECH,realization,0.011200334963288622,False
GATECH,disapproval,0.046132220776696126,True
GATECH,pride,0.0002841206465987768,False
GATECH,surprise,0.010033944940409432,False
GATECH,annoyance,0.03704036008553527,True
GATECH,disappointment,0.030864474451572383,True
GATECH,remorse,0.011574177919339644,False
GATECH,relief,0.0,False
GATECH,anger,0.007731072331135137,False
GATECH,fear,0.004187041107771447,False
GATECH,sadness,0.013263948080690263,False
GATECH,disgust,0.0036786146875420573,False
GATECH,amusement,0.04771731491035246,True
GATECH,nervousness,0.0017794924708028651,False
GATECH,grief,0.0,False
GATECH,embarrassment,0.0015701404154142928,False
